	posicao	nome	cargo	partido	pontuacao	estado	presidente
163	163	Capitão Wagner 	Deputado Federal	UNIÃO	6.89	CE	False
164	163	Nicoletti 	Deputado Federal	UNIÃO	6.89	RR	False
165	165	Soraya Santos 	Deputado Federal	PL	6.87	RJ	False
166	165	Filipe Barros 	Deputado Federal	PL	6.87	PR	False
167	167	Pedro Lupion 	Deputado Federal	PP	6.86	PR	False
168	167	Esperidião Amin	Senador	PP	6.86	SC	False
169	169	Célio Silveira 	Deputado Federal	MDB	6.85	GO	False
170	169	Nivaldo Albuquerque 	Deputado Federal	REPUBLICANOS	6.85	AL	False
171	171	Augusto Coutinho 	Deputado Federal	REPUBLICANOS	6.84	PE	False
172	171	Izalci Lucas	Senador	PSDB	6.84	DF	False
173	171	Alexandre Leite 	Deputado Federal	UNIÃO	6.84	SP	False
174	171	Adriano do Baldy 	Deputado Federal	PP	6.84	GO	False
175	171	Delegado Pablo 	Deputado Federal	UNIÃO	6.84	AM	False
176	171	Marreca Filho 	Deputado Federal	PATRIOTA	6.84	MA	False
177	171	Josivaldo JP	Deputado Federal	PSD	6.84	MA	False
178	178	Silvio Costa Filho 	Deputado Federal	REPUBLICANOS	6.83	PE	False
179	178	Giacobo 	Deputado Federal	PL	6.83	PR	False
180	178	Felipe Carreras 	Deputado Federal	PSB	6.83	PE	False
181	181	Adolfo Viana 	Deputado Federal	PSDB	6.82	BA	False
182	181	Hiran Gonçalves 	Deputado Federal	PP	6.82	RR	False
183	181	Nereu Crispim 	Deputado Federal	PSD	6.82	RS	False
184	184	Cacá Leão 	Deputado Federal	PP	6.79	BA	False
185	184	Eli Corrêa Filho 	Deputado Federal	UNIÃO	6.79	SP	False
186	184	Eros Biondini 	Deputado Federal	PL	6.79	MG	False
187	184	Giovani Cherini 	Deputado Federal	PL	6.79	RS	False
188	184	Professor Alcides 	Deputado Federal	PL	6.79	GO	False
189	184	Charlles Evangelista 	Deputado Federal	PP	6.79	MG	False
190	190	José Serra	Senador	PSDB	6.76	SP	False
191	191	Antonio Brito 	Deputado Federal	PSD	6.75	BA	False
192	191	Jorge Kajuru	Senador	PODEMOS	6.75	GO	False
193	193	Júlio Cesar 	Deputado Federal	PSD	6.74	PI	False
194	193	Eduardo Braga	Senador	MDB	6.74	AM	False
195	193	Dra. Vanda Milani 	Deputado Federal	PROS	6.74	AC	False
196	193	Dr. Leonardo 	Deputado Federal	REPUBLICANOS	6.74	MT	False
197	197	Dr. Zacharias Calil 	Deputado Federal	UNIÃO	6.73	GO	False
198	198	AJ Albuquerque	Deputado Federal	PP	6.72	CE	False
199	199	Edilázio Júnior 	Deputado Federal	PSD	6.71	MA	False
200	199	Angela Amin 	Deputado Federal	PP	6.71	SC	False
201	199	Luiz Carlos Motta 	Deputado Federal	PL	6.71	SP	False
202	202	Afonso Hamm 	Deputado Federal	PP	6.7	RS	False
203	202	Hercílio Coelho Diniz 	Deputado Federal	MDB	6.7	MG	False
204	204	Rose de Freitas	Senador	MDB	6.69	ES	False
205	204	Bozzella	Deputado Federal	UNIÃO	6.69	SP	False
206	206	Rodrigo de Castro 	Deputado Federal	UNIÃO	6.68	MG	False
207	206	Simone Tebet	Senador	MDB	6.68	MS	False
208	208	Jhonatan de Jesus 	Deputado Federal	REPUBLICANOS	6.66	RR	False
209	208	Pedro Lucas Fernandes 	Deputado Federal	UNIÃO	6.66	MA	False
210	210	Neri Geller 	Deputado Federal	PP	6.65	MT	False
211	210	Lucas Vergilio 	Deputado Federal	SOLIDARIEDADE	6.65	GO	False
212	212	Ricardo Barros 	Deputado Federal	PP	6.64	PR	False
213	212	Hélio Costa 	Deputado Federal	PSD	6.64	SC	False
214	214	Isnaldo Bulhões Jr. 	Deputado Federal	MDB	6.63	AL	False
215	215	Arthur Lira 	Deputado Federal	PP	6.62	AL	True
216	215	Flávio Arns	Senador	PODEMOS	6.62	PR	False
217	215	Léo Moraes 	Deputado Federal	PODEMOS	6.62	RO	False
218	215	Geninho Zuliani 	Deputado Federal	UNIÃO	6.62	SP	False
219	219	Luiz Nishimori 	Deputado Federal	PSD	6.59	PR	False
220	219	Doutor Luizinho	Deputado Federal	PP	6.59	RJ	False
221	221	Benes Leocádio 	Deputado Federal	UNIÃO	6.58	RN	False
222	222	Paulo Azi 	Deputado Federal	UNIÃO	6.57	BA	False
223	222	Sebastião Oliveira 	Deputado Federal	AVANTE	6.57	PE	False
224	222	Carlos Chiodini 	Deputado Federal	MDB	6.57	SC	False
225	222	Abou Anni 	Deputado Federal	UNIÃO	6.57	SP	False
226	222	Osmar Terra 	Deputado Federal	MDB	6.57	RS	False
227	222	Celso Maldaner 	Deputado Federal	MDB	6.57	SC	False
228	222	Reguffe	Senador	S.PART.	6.57	DF	False
229	229	Christino Aureo 	Deputado Federal	PP	6.56	RJ	False
230	229	Mecias de Jesus	Senador	REPUBLICANOS	6.56	RR	False
231	229	Carlos Gomes 	Deputado Federal	REPUBLICANOS	6.56	RS	False
232	229	Delegado Waldir 	Deputado Federal	UNIÃO	6.56	GO	False
233	229	Confúcio Moura	Senador	MDB	6.56	RO	False
234	229	Professor Joziel 	Deputado Federal	PATRIOTA	6.56	RJ	False
235	229	Carlos Fávaro	Senador	PSD	6.56	MT	False
236	236	David Soares 	Deputado Federal	UNIÃO	6.55	SP	False
237	236	Zequinha Marinho	Senador	PL	6.55	PA	False
238	236	Luiz Carlos 	Deputado Federal	PSDB	6.55	AP	False
239	236	Vinicius Carvalho 	Deputado Federal	REPUBLICANOS	6.55	SP	False
240	236	Uldurico Junior 	Deputado Federal	MDB	6.55	BA	False
241	236	Vicentinho Júnior 	Deputado Federal	PP	6.55	TO	False
242	242	Bosco Saraiva 	Deputado Federal	SOLIDARIEDADE	6.54	AM	False
243	242	José Medeiros 	Deputado Federal	PL	6.54	MT	False
244	244	Ronaldo Carletto 	Deputado Federal	PP	6.53	BA	False
245	244	Altineu Côrtes 	Deputado Federal	PL	6.53	RJ	False
246	244	Fausto Pinato 	Deputado Federal	PP	6.53	SP	False
247	244	Marina Santos 	Deputado Federal	REPUBLICANOS	6.53	PI	False
248	248	Juninho do Pneu 	Deputado Federal	UNIÃO	6.52	RJ	False
249	248	Luizão Goulart 	Deputado Federal	SOLIDARIEDADE	6.52	PR	False
250	248	Glaustin da Fokus	Deputado Federal	PSC	6.52	GO	False
251	251	Romário	Senador	PL	6.51	RJ	False
252	251	Renata Abreu 	Deputado Federal	PODEMOS	6.51	SP	False
253	251	Igor Timo 	Deputado Federal	PODEMOS	6.51	MG	False
254	254	Gustinho Ribeiro 	Deputado Federal	REPUBLICANOS	6.5	SE	False
255	254	Dr. Jaziel 	Deputado Federal	PL	6.5	CE	False
256	254	Christiane de Souza Yared 	Deputado Federal	PP	6.5	PR	False
257	254	Olival Marques 	Deputado Federal	MDB	6.5	PA	False
258	254	Leur Lomanto Júnior 	Deputado Federal	UNIÃO	6.5	BA	False
259	254	Ricardo da Karol	Deputado Federal	PDT	6.5	RJ	False
260	260	Marlon Santos 	Deputado Federal	PL	6.49	RS	False
261	260	Pinheirinho 	Deputado Federal	PP	6.49	MG	False
262	262	Francisco Jr. 	Deputado Federal	PSD	6.48	GO	False
263	262	Elmano Férrer	Senador	PP	6.48	PI	False
264	262	Cezinha de Madureira 	Deputado Federal	PSD	6.48	SP	False
265	262	Policial Katia Sastre 	Deputado Federal	PL	6.48	SP	False
266	266	Zé Silva 	Deputado Federal	SOLIDARIEDADE	6.47	MG	False
267	266	Dário Berger	Senador	PSB	6.47	SC	False
268	268	Jefferson Campos 	Deputado Federal	PL	6.46	SP	False
269	269	Elmar Nascimento 	Deputado Federal	UNIÃO	6.45	BA	False
270	269	Toninho Wandscheer 	Deputado Federal	PROS	6.45	PR	False
271	269	Nilson Pinto 	Deputado Federal	PSDB	6.45	PA	False
272	269	André Abdon 	Deputado Federal	PP	6.45	AP	False
273	269	Bosco Costa 	Deputado Federal	PL	6.45	SE	False
274	269	Ottaci Nascimento	Deputado Federal	SOLIDARIEDADE	6.45	RR	False
275	275	Julio Cesar Ribeiro 	Deputado Federal	REPUBLICANOS	6.44	DF	False
276	276	Átila Lins 	Deputado Federal	PSD	6.43	AM	False
277	276	Jaqueline Cassol 	Deputado Federal	PP	6.43	RO	False
278	276	Tiago Dimas 	Deputado Federal	PODEMOS	6.43	TO	False
279	279	Carlos Bezerra 	Deputado Federal	MDB	6.42	MT	False
280	279	Domingos Sávio 	Deputado Federal	PL	6.42	MG	False
281	279	Amaro Neto 	Deputado Federal	REPUBLICANOS	6.42	ES	False
282	279	Raimundo Costa 	Deputado Federal	PODEMOS	6.42	BA	False
283	283	Abílio Santana 	Deputado Federal	PSC	6.41	BA	False
284	284	Gilberto Abramo 	Deputado Federal	REPUBLICANOS	6.4	MG	False
285	284	Delegado Antônio Furtado 	Deputado Federal	UNIÃO	6.4	RJ	False
286	286	Osires Damaso 	Deputado Federal	PSC	6.39	TO	False
287	286	Sérgio Brito 	Deputado Federal	PSD	6.39	BA	False
288	286	Danrlei de Deus Hinterholz 	Deputado Federal	PSD	6.39	RS	False
289	286	Greyce Elias 	Deputado Federal	AVANTE	6.39	MG	False
290	286	Gelson Azevedo 	Deputado Federal	PL	6.39	RJ	False
291	291	Hermes Parcianello 	Deputado Federal	MDB	6.38	PR	False
292	291	Fábio Ramalho 	Deputado Federal	MDB	6.38	MG	False
293	291	Alan Rick 	Deputado Federal	UNIÃO	6.38	AC	False
294	294	Tabata Amaral 	Deputado Federal	PSB	6.37	SP	False
295	294	Paulo Bengtson 	Deputado Federal	PTB	6.37	PA	False
296	294	Junior Lourenço 	Deputado Federal	PL	6.37	MA	False
297	297	Margarete Coelho 	Deputado Federal	PP	6.36	PI	False
298	297	Chiquinho Brazão 	Deputado Federal	UNIÃO	6.36	RJ	False
299	297	Flaviano Melo 	Deputado Federal	MDB	6.36	AC	False
300	300	Marx Beltrão 	Deputado Federal	PP	6.35	AL	False
301	301	Aguinaldo Ribeiro 	Deputado Federal	PP	6.34	PB	False
302	302	Arthur Oliveira Maia 	Deputado Federal	UNIÃO	6.33	BA	False
303	302	Cleber Verde 	Deputado Federal	REPUBLICANOS	6.33	MA	False
304	302	José Nelto 	Deputado Federal	PP	6.33	GO	False
305	302	Emidinho Madeira 	Deputado Federal	PL	6.33	MG	False
306	306	Ricardo Silva	Deputado Federal	PSD	6.32	SP	False
307	306	Genecias Noronha 	Deputado Federal	PL	6.32	CE	False
308	306	Hélio Leite 	Deputado Federal	UNIÃO	6.32	PA	False
309	306	Rosana Valle 	Deputado Federal	PL	6.32	SP	False
310	310	Jorge Braz 	Deputado Federal	REPUBLICANOS	6.31	RJ	False
311	310	Maria do Carmo Alves	Senador	PP	6.31	SE	False
312	312	Fernando Coelho Filho 	Deputado Federal	UNIÃO	6.3	PE	False
313	313	Claudio Cajado 	Deputado Federal	PP	6.29	BA	False
314	313	Hugo Motta 	Deputado Federal	REPUBLICANOS	6.29	PB	False
315	313	Aroldo Martins 	Deputado Federal	REPUBLICANOS	6.29	PR	False
316	313	Luiz Antônio Corrêa 	Deputado Federal	PP	6.29	RJ	False
317	317	José Rocha 	Deputado Federal	UNIÃO	6.28	BA	False
318	317	Vaidon Oliveira 	Deputado Federal	UNIÃO	6.28	CE	False
319	319	Ossesio Silva 	Deputado Federal	REPUBLICANOS	6.27	PE	False
320	319	Mara Rocha 	Deputado Federal	MDB	6.27	AC	False
321	321	Raul Henry 	Deputado Federal	MDB	6.26	PE	False
322	321	Ruy Carneiro 	Deputado Federal	PSC	6.26	PB	False
323	321	Marcos Aurélio Sampaio 	Deputado Federal	PSD	6.26	PI	False
324	324	Zé Vitor 	Deputado Federal	PL	6.25	MG	False
325	325	Mauro Lopes 	Deputado Federal	PP	6.24	MG	False
326	325	Alceu Moreira 	Deputado Federal	MDB	6.24	RS	False
327	325	Mailza Gomes	Senador	PP	6.24	AC	False
328	325	Daniela do Waguinho 	Deputado Federal	UNIÃO	6.24	RJ	False
329	329	Sergio Toledo 	Deputado Federal	PV	6.23	AL	False
330	329	Giovani Feltes 	Deputado Federal	MDB	6.23	RS	False
331	331	Davi Alcolumbre	Senador	UNIÃO	6.22	AP	False
332	332	Lauriete 	Deputado Federal	PSC	6.21	ES	False
333	333	Vermelho 	Deputado Federal	PL	6.2	PR	False
334	333	Dr. Frederico 	Deputado Federal	PATRIOTA	6.2	MG	False
335	335	Pastor Gil	Deputado Federal	PL	6.19	MA	False
336	336	Alcides Rodrigues 	Deputado Federal	PATRIOTA	6.18	GO	False
337	336	João Roma 	Deputado Federal	PL	6.18	BA	False
338	338	Alex Santana 	Deputado Federal	REPUBLICANOS	6.17	BA	False
339	339	Rosangela Gomes 	Deputado Federal	REPUBLICANOS	6.16	RJ	False
340	339	João Campos 	Deputado Federal	REPUBLICANOS	6.16	GO	False
341	341	Milton Vieira 	Deputado Federal	REPUBLICANOS	6.15	SP	False
342	341	Acácio Favacho 	Deputado Federal	MDB	6.15	AP	False
343	343	Luis Tibé 	Deputado Federal	AVANTE	6.14	MG	False
344	344	Lafayette de Andrada 	Deputado Federal	REPUBLICANOS	6.13	MG	False
345	344	Celso Sabino 	Deputado Federal	UNIÃO	6.13	PA	False
346	346	Edio Lopes 	Deputado Federal	PL	6.12	RR	False
347	346	Nilda Gondim	Senador	MDB	6.12	PB	False
348	346	Dulce Miranda 	Deputado Federal	MDB	6.12	TO	False
349	346	Pedro Augusto Bezerra 	Deputado Federal	PDT	6.12	CE	False
350	350	Pr. Marco Feliciano 	Deputado Federal	PL	6.11	SP	False
351	350	Roberto Alves 	Deputado Federal	REPUBLICANOS	6.11	SP	False
352	352	Paulo Abi-Ackel	Deputado Federal	PSDB	6.09	MG	False
353	352	Mara Gabrilli	Senador	PSDB	6.09	SP	False
354	354	Átila Lira 	Deputado Federal	PP	6.06	PI	False
355	354	Beto Pereira 	Deputado Federal	PSDB	6.06	MS	False
356	356	Severino Pessoa 	Deputado Federal	MDB	6.05	AL	False
357	356	Misael Varella 	Deputado Federal	PSD	6.05	MG	False
358	356	Flávia Arruda 	Deputado Federal	PL	6.05	DF	False
359	359	Leda Sadala 	Deputado Federal	PP	6.04	AP	False
360	360	Aelton Freitas	Deputado Federal	PP	6.03	MG	False
361	361	Sidney Leite 	Deputado Federal	PSD	6.02	AM	False
362	361	Lucas Barreto	Senador	PSD	6.02	AP	False
363	363	Dimas Fabiano 	Deputado Federal	PP	6.0	MG	False
364	364	Léo Motta 	Deputado Federal	REPUBLICANOS	5.99	MG	False
365	365	Omar Aziz	Senador	PSD	5.98	AM	False
366	365	Hildo Rocha 	Deputado Federal	MDB	5.98	MA	False
367	367	André Ferreira 	Deputado Federal	PL	5.97	PE	False
368	368	Márcio Marinho 	Deputado Federal	REPUBLICANOS	5.96	BA	False
369	368	Rose Modesto 	Deputado Federal	UNIÃO	5.96	MS	False
370	368	Vavá Martins 	Deputado Federal	REPUBLICANOS	5.96	PA	False
371	371	Maria Rosas 	Deputado Federal	REPUBLICANOS	5.95	SP	False
372	372	Jéssica Sales 	Deputado Federal	MDB	5.92	AC	False
373	372	Euclydes Pettersen 	Deputado Federal	PSC	5.92	MG	False
374	374	Kátia Abreu	Senador	PP	5.89	TO	False
375	374	Shéridan 	Deputado Federal	PSDB	5.89	RR	False
376	374	Leila Barros	Senador	PDT	5.89	DF	False
377	377	Fábio Trad 	Deputado Federal	PSD	5.88	MS	False
378	377	Aécio Neves 	Deputado Federal	PSDB	5.88	MG	False
379	379	Walter Alves 	Deputado Federal	MDB	5.87	RN	False
380	379	Stefano Aguiar 	Deputado Federal	PSD	5.87	MG	False
381	379	Júnior Mano 	Deputado Federal	PL	5.87	CE	False
382	382	Juarez Costa 	Deputado Federal	MDB	5.86	MT	False
383	383	Guilherme Mussi 	Deputado Federal	PP	5.85	SP	False
384	384	Diego Andrade 	Deputado Federal	PSD	5.83	MG	False
385	384	Domingos Neto 	Deputado Federal	PSD	5.83	CE	False
