	posicao	nome	cargo	partido	pontuacao	estado	presidente
475	475	Humberto Costa	Senador	PT	3.94	PE	False
476	476	Gustavo Fruet 	Deputado Federal	PDT	3.93	PR	False
477	477	Luciano Ducci 	Deputado Federal	PSB	3.91	PR	False
478	478	Júlio Delgado 	Deputado Federal	PV	3.9	MG	False
479	478	Leo de Brito	Deputado Federal	PT	3.9	AC	False
480	480	Heitor Schuch 	Deputado Federal	PSB	3.88	RS	False
481	481	Mário Heringer 	Deputado Federal	PDT	3.84	MG	False
482	482	Tiririca 	Deputado Federal	PL	3.82	SP	False
483	482	Eduardo Bismarck 	Deputado Federal	PDT	3.82	CE	False
484	484	Robério Monteiro 	Deputado Federal	PDT	3.81	CE	False
485	485	Paulo Foletto 	Deputado Federal	PSB	3.75	ES	False
486	486	Elias Vaz 	Deputado Federal	PSB	3.69	GO	False
487	487	Jaques Wagner	Senador	PT	3.67	BA	False
488	488	Joenia Wapichana 	Deputado Federal	REDE	3.66	RR	False
489	489	Damião Feliciano 	Deputado Federal	UNIÃO	3.65	PB	False
490	490	Paulo Rocha	Senador	PT	3.64	PA	False
491	491	Pompeo de Mattos 	Deputado Federal	PDT	3.62	RS	False
492	492	Vilson da Fetaemg 	Deputado Federal	PSB	3.61	MG	False
493	493	Idilvan Alencar 	Deputado Federal	PDT	3.56	CE	False
494	494	Chico D'Angelo 	Deputado Federal	PDT	3.53	RJ	False
495	494	Danilo Cabral 	Deputado Federal	PSB	3.53	PE	False
496	494	Tadeu Alencar 	Deputado Federal	PSB	3.53	PE	False
497	497	Bacelar 	Deputado Federal	PV	3.45	BA	False
498	498	André Figueiredo 	Deputado Federal	PDT	3.44	CE	False
499	498	Denis Bezerra 	Deputado Federal	PSB	3.44	CE	False
500	500	Túlio Gadêlha 	Deputado Federal	REDE	3.43	PE	False
501	501	Wolney Queiroz 	Deputado Federal	PDT	3.41	PE	False
502	502	Áurea Carolina 	Deputado Federal	PSOL	3.39	MG	False
503	503	Fernanda Melchionna 	Deputado Federal	PSOL	3.35	RS	False
504	504	Afonso Motta 	Deputado Federal	PDT	3.32	RS	False
505	505	Talíria Petrone 	Deputado Federal	PSOL	3.31	RJ	False
506	506	Marcelo Freixo 	Deputado Federal	PSB	3.3	RJ	False
507	506	Gonzaga Patriota 	Deputado Federal	PSB	3.3	PE	False
508	508	David Miranda 	Deputado Federal	PDT	3.29	RJ	False
509	509	Félix Mendonça Júnior 	Deputado Federal	PDT	3.25	BA	False
510	510	Merlong Solano 	Deputado Federal	PT	3.23	PI	False
511	511	Paulo Guedes 	Deputado Federal	PT	3.16	MG	False
512	512	Zé Neto 	Deputado Federal	PT	3.13	BA	False
513	513	Bira do Pindaré 	Deputado Federal	PSB	3.1	MA	False
514	514	Leônidas Cristino 	Deputado Federal	PDT	3.09	CE	False
515	515	Paulo Ramos 	Deputado Federal	PDT	3.08	RJ	False
516	515	Luizianne Lins 	Deputado Federal	PT	3.08	CE	False
517	517	Gervásio Maia 	Deputado Federal	PSB	3.07	PB	False
518	517	Rubens Otoni 	Deputado Federal	PT	3.07	GO	False
519	519	Alessandro Molon 	Deputado Federal	PSB	3.06	RJ	False
520	520	Glauber Braga 	Deputado Federal	PSOL	3.05	RJ	False
521	520	Renildo Calheiros 	Deputado Federal	PCdoB	3.05	PE	False
522	522	Arlindo Chinaglia 	Deputado Federal	PT	3.03	SP	False
523	522	Renan Calheiros	Senador	MDB	3.03	AL	False
524	524	Rogério Carvalho	Senador	PT	3.0	SE	False
525	524	Aliel Machado 	Deputado Federal	PV	3.0	PR	False
526	526	Ivan Valente 	Deputado Federal	PSOL	2.99	SP	False
527	527	Camilo Capiberibe 	Deputado Federal	PSB	2.98	AP	False
528	528	Luiza Erundina 	Deputado Federal	PSOL	2.97	SP	False
529	529	Dagoberto Nogueira 	Deputado Federal	PSDB	2.95	MS	False
530	530	Professora Marcivania 	Deputado Federal	PCdoB	2.93	AP	False
531	530	Professora Rosa Neide 	Deputado Federal	PT	2.93	MT	False
532	532	Beto Faro 	Deputado Federal	PT	2.92	PA	False
533	533	Alencar Santana	Deputado Federal	PT	2.91	SP	False
534	534	Nilto Tatto 	Deputado Federal	PT	2.89	SP	False
535	534	Carlos Veras 	Deputado Federal	PT	2.89	PE	False
536	536	Joseildo Ramos 	Deputado Federal	PT	2.88	BA	False
537	536	Jandira Feghali 	Deputado Federal	PCdoB	2.88	RJ	False
538	538	Airton Faleiro 	Deputado Federal	PT	2.87	PA	False
539	538	Carlos Zarattini 	Deputado Federal	PT	2.87	SP	False
540	540	Patrus Ananias 	Deputado Federal	PT	2.86	MG	False
541	541	Josias Gomes 	Deputado Federal	PT	2.85	BA	False
542	541	Zeca Dirceu 	Deputado Federal	PT	2.85	PR	False
543	543	Rejane Dias 	Deputado Federal	PT	2.84	PI	False
544	543	Sâmia Bomfim 	Deputado Federal	PSOL	2.84	SP	False
545	545	Perpétua Almeida 	Deputado Federal	PCdoB	2.82	AC	False
546	546	Vicentinho 	Deputado Federal	PT	2.79	SP	False
547	546	Alice Portugal 	Deputado Federal	PCdoB	2.79	BA	False
548	546	Bohn Gass 	Deputado Federal	PT	2.79	RS	False
549	549	Alexandre Padilha 	Deputado Federal	PT	2.78	SP	False
550	550	Paulão 	Deputado Federal	PT	2.77	AL	False
551	551	Leonardo Monteiro 	Deputado Federal	PT	2.74	MG	False
552	552	Benedita da Silva 	Deputado Federal	PT	2.73	RJ	False
553	553	Zé Carlos 	Deputado Federal	PT	2.72	MA	False
554	553	Odair Cunha 	Deputado Federal	PT	2.72	MG	False
555	555	Marília Arraes 	Deputado Federal	SOLIDARIEDADE	2.71	PE	False
556	556	José Guimarães 	Deputado Federal	PT	2.7	CE	False
557	557	Célio Moura 	Deputado Federal	PT	2.69	TO	False
558	558	Enio Verri 	Deputado Federal	PT	2.68	PR	False
559	559	Daniel Almeida 	Deputado Federal	PCdoB	2.66	BA	False
560	559	Waldenor Pereira 	Deputado Federal	PT	2.66	BA	False
561	561	Afonso Florence 	Deputado Federal	PT	2.65	BA	False
562	562	Maria do Rosário 	Deputado Federal	PT	2.62	RS	False
563	563	Pedro Uczai 	Deputado Federal	PT	2.61	SC	False
564	564	José Ricardo 	Deputado Federal	PT	2.6	AM	False
565	564	Reginaldo Lopes 	Deputado Federal	PT	2.6	MG	False
566	566	Frei Anastacio Ribeiro 	Deputado Federal	PT	2.59	PB	False
567	566	Valmir Assunção 	Deputado Federal	PT	2.59	BA	False
568	568	José Airton Félix Cirilo 	Deputado Federal	PT	2.58	CE	False
569	569	Rogério Correia 	Deputado Federal	PT	2.56	MG	False
570	569	João Daniel 	Deputado Federal	PT	2.56	SE	False
571	569	Helder Salomão 	Deputado Federal	PT	2.56	ES	False
572	572	Rui Falcão 	Deputado Federal	PT	2.55	SP	False
573	573	Paulinho da Força	Deputado Federal	SOLIDARIEDADE	2.53	SP	False
574	574	Padre João 	Deputado Federal	PT	2.52	MG	False
575	575	Erika Kokay 	Deputado Federal	PT	2.5	DF	False
576	576	Marcon 	Deputado Federal	PT	2.49	RS	False
577	577	Natália Bonavides 	Deputado Federal	PT	2.47	RN	False
578	578	Orlando Silva 	Deputado Federal	PCdoB	2.44	SP	False
579	579	Lídice da Mata 	Deputado Federal	PSB	2.42	BA	False
580	580	Gleisi Hoffmann 	Deputado Federal	PT	2.35	PR	False
581	581	Paulo Teixeira 	Deputado Federal	PT	2.26	SP	False
582	582	Henrique Fontana 	Deputado Federal	PT	2.13	RS	False
583	583	Paulo Pimenta 	Deputado Federal	PT	2.05	RS	False
584	584	Vander Loubet 	Deputado Federal	PT	2.02	MS	False
585	585	Jorge Solla 	Deputado Federal	PT	1.9	BA	False
586	586	Vivi Reis	Deputado Federal	PSOL	1.51	PA	False
587	587	Márcio Jerry 	Deputado Federal	PCdoB	0.55	MA	False
588	588	Márcio Macêdo	Deputado Federal	PT	0.41	SE	False
